CUSTOMER_ID,CUSTOMER_SIGN_UP_DATE,CUSTOMER_COMPANY_DISTRICT,CUSTOMER_AGE,CUSTOMER_COMPANY_SIZE,CUSTOMER_ACQUISITION_SOURCE,CUSTOMER_INDUSTRY,CUSTOMER_REVENUE_USD_AMT,CUSTOMER_TOTAL_LOAN_DEFAULTED_COUNT,LOAN_ID,LOAN_PRODUCT_NAME,LOAN_DISBURSAL_USD_AMT,LOAN_DISBURSAL_DATE_LCL_TS
000b67617af0675e5be42236d24d005d,11/14/2022,KULIM,38,Small,Organic,Construction,6595.54,0,23c93eeecba205e680bb3e6d56ed7e6bSG,TERM_LOAN,7824.71,12/6/2022
0016236509d72691faa8981ea7c7b5f3,11/30/2021,KUALA LIPIS,34,Small,Digital Marketing,Construction,11339.18,0,316bbc640ee5bc3bbc8f7f3e04ecae9fSG,TERM_LOAN,7824.71,4/20/2022
0016236509d72691faa8981ea7c7b5f3,11/30/2021,KUALA LIPIS,34,Small,Digital Marketing,Construction,11339.18,0,9b2f4bbf0ad00ded223258361620d382SG,TERM_LOAN,7824.71,11/21/2022
002c649950ed638c67a559ea7f6eef2a,3/30/2022,PUCHONG,49,Small,Organic,F&B,1994.15,1,04c9808b697fcadbe9ba15da7a65ec8fSG,TERM_LOAN,2503.91,4/11/2022
003594837231182c169bb55af0e0ab02,4/16/2018,SEMENYIH,34,Micro,Organic,Other Service Activities,639.58,0,00262452139718cfdc90eb7119d9fc8dSG,TERM_LOAN,1564.94,12/11/2019
0046e9da138cdf1bbf5622633a28d9b4,11/21/2022,BAYAN LEPAS,50,Small,Platform Partners,F&B,1365.46,0,9e83f1c56de2121bdd3379f849cb8eceSG,TERM_LOAN,1564.94,11/29/2022
004ae0e3360fd2e65ed8538de41c7e99,2/19/2021,BANDAR BARU BANGI,30,Small,Organic,Motor Vehicles Repair,7373.66,1,006e4366ac2150bbf96919f8f3502363SG,TERM_LOAN,3755.86,3/16/2021
004ae0e3360fd2e65ed8538de41c7e99,2/19/2021,BANDAR BARU BANGI,30,Small,Organic,Motor Vehicles Repair,7373.66,1,2ef60c65c719dfb22d40b2b6487ed15aSG,TERM_LOAN,6259.77,3/14/2022
0062031efee595c86a5f6db8a13a5d33,8/19/2022,KOTA KINABALU,24,Small,Employee Referrals,Water Supply,3165.47,1,1d237a08a8ffb978c68e6d95e1c24facSG,TERM_LOAN,6259.77,9/6/2022
0074e3f4a8184257f066b43186eb9df1,9/28/2020,KAJANG,32,Small,Digital Marketing,Professional Activities,18392.54,0,a49888c4017e5eaf9cbfabf405a597c2SG,TERM_LOAN,3755.86,2/10/2021
0074e3f4a8184257f066b43186eb9df1,9/28/2020,KAJANG,32,Small,Digital Marketing,Professional Activities,18392.54,0,3a3401d0684ce59933b540f59f0ee830SG,TERM_LOAN,15649.41,10/15/2020
0074e3f4a8184257f066b43186eb9df1,9/28/2020,KAJANG,32,Small,Organic,Professional Activities,18392.54,0,9a28cbb8ed4a4cb41bcadc2d03916172SG,TERM_LOAN,3755.86,8/18/2022
007e16681e460862103c6976f79e3e9f,2/14/2023,SUNGAI PETANI,37,Small,Brokers,Motor Vehicles Repair,23744.09,0,e86d697ded73d9eeb4c3fa2aca9cb638SG,TERM_LOAN,39593.02,2/23/2023
007f3ea2088b9185771e29780b1ceee4,9/8/2020,SUNGAI BULOH,32,Small,Organic,Motor Vehicles Repair,19980.15,0,07be414eb92818fe8dfbd0c37f8fce7bSG,TERM_LOAN,7824.71,9/23/2022
007f3ea2088b9185771e29780b1ceee4,9/8/2020,SUNGAI BULOH,32,Small,Organic,Motor Vehicles Repair,19980.15,0,39e761fdff07f8333c78cdb9d24e7c1bSG,TERM_LOAN,7824.71,9/14/2020
007f3ea2088b9185771e29780b1ceee4,9/8/2020,SUNGAI BULOH,32,Small,Organic,Motor Vehicles Repair,19980.15,0,43b606829c87c8f2db06ce10598c3cadSG,TERM_LOAN,4507.03,7/7/2022
007f3ea2088b9185771e29780b1ceee4,9/8/2020,SUNGAI BULOH,32,Small,Organic,Motor Vehicles Repair,19980.15,0,c09dd4bf9c12601ef39c3994c5a4cb1aSG,TERM_LOAN,7824.71,8/25/2021
00824c727e3c219f734825beb0f86554,6/20/2022,PUCHONG,37,Micro,Organic,Motor Vehicles Repair,1371.65,1,85350fc5533f5ff038129f21293f21d2SG,TERM_LOAN,1564.94,6/27/2022
00868ac4102b5e19e384edb1e64f292b,1/31/2021,SUBANG JAYA,46,Small,EDMs,Motor Vehicles Repair,12580.65,1,55ba6a3be8e44efb5dd5186d882f3db7SG,Credit Line,4694.82,1/26/2022
00868ac4102b5e19e384edb1e64f292b,1/31/2021,SUBANG JAYA,46,Small,EDMs,Motor Vehicles Repair,12580.65,1,1f7c55f6d13e1a1556f354e4707b8684SG,Credit Line,4694.82,4/26/2022
00868ac4102b5e19e384edb1e64f292b,1/31/2021,SUBANG JAYA,46,Small,Digital Marketing,Motor Vehicles Repair,12580.65,1,c6c6f2209560575db2165819f3f91720SG,TERM_LOAN,9389.65,2/5/2021
00868ac4102b5e19e384edb1e64f292b,1/31/2021,SUBANG JAYA,46,Small,EDMs,Motor Vehicles Repair,12580.65,1,c012cf156496d5f2e06028c4a7f47884SG,Credit Line,4694.82,9/1/2021
00868ac4102b5e19e384edb1e64f292b,1/31/2021,SUBANG JAYA,46,Small,EDMs,Motor Vehicles Repair,12580.65,1,ee2fb2353a19a51977a51a6ab8e1170dSG,Credit Line,4694.82,12/26/2021
